epoch,residual_mse,rel_l2
0.000000000000000000e+00,1.162740356445312500e+03,1.195981264114379883e+00
2.500000000000000000e+01,6.608405151367187500e+02,1.129852056503295898e+00
5.000000000000000000e+01,4.227527465820312500e+02,1.093530416488647461e+00
7.500000000000000000e+01,3.789966125488281250e+02,1.083574652671813965e+00
1.000000000000000000e+02,3.777659912109375000e+02,1.083003282546997070e+00
1.250000000000000000e+02,3.759909362792968750e+02,1.082885384559631348e+00
1.500000000000000000e+02,3.742411804199218750e+02,1.082295775413513184e+00
1.750000000000000000e+02,3.723490905761718750e+02,1.081728935241699219e+00
2.000000000000000000e+02,3.703151550292968750e+02,1.081139564514160156e+00
2.250000000000000000e+02,3.681485290527343750e+02,1.080509424209594727e+00
2.500000000000000000e+02,3.658634948730468750e+02,1.079856991767883301e+00
2.750000000000000000e+02,3.634833984375000000e+02,1.079190969467163086e+00
3.000000000000000000e+02,3.610449218750000000e+02,1.078530192375183105e+00
3.250000000000000000e+02,3.586007690429687500e+02,1.077902793884277344e+00
3.500000000000000000e+02,3.562169494628906250e+02,1.077347517013549805e+00
