epoch,mse,rel_l2
0.000000000000000000e+00,5.209123492240905762e-01,1.000790357589721680e+00
2.500000000000000000e+01,5.022382736206054688e-01,9.981560111045837402e-01
5.000000000000000000e+01,5.019595026969909668e-01,9.978744387626647949e-01
7.500000000000000000e+01,5.015840530395507812e-01,9.975068569183349609e-01
1.000000000000000000e+02,5.004370808601379395e-01,9.962996840476989746e-01
1.250000000000000000e+02,4.963966906070709229e-01,9.921266436576843262e-01
1.500000000000000000e+02,4.928886294364929199e-01,9.888226985931396484e-01
1.750000000000000000e+02,4.921152889728546143e-01,9.880435466766357422e-01
2.000000000000000000e+02,4.915732741355895996e-01,9.874454736709594727e-01
2.250000000000000000e+02,4.908882975578308105e-01,9.868103265762329102e-01
2.500000000000000000e+02,4.901911914348602295e-01,9.861861467361450195e-01
2.750000000000000000e+02,4.891612231731414795e-01,9.850433468818664551e-01
3.000000000000000000e+02,4.876914918422698975e-01,9.835935235023498535e-01
3.250000000000000000e+02,4.854657351970672607e-01,9.812564849853515625e-01
3.500000000000000000e+02,4.819923639297485352e-01,9.776579141616821289e-01
3.750000000000000000e+02,4.744098484516143799e-01,9.696726799011230469e-01
4.000000000000000000e+02,4.602989852428436279e-01,9.547024369239807129e-01
4.250000000000000000e+02,4.442971646785736084e-01,9.382605552673339844e-01
4.500000000000000000e+02,4.343391060829162598e-01,9.279778003692626953e-01
4.750000000000000000e+02,4.293889999389648438e-01,9.228613972663879395e-01
5.000000000000000000e+02,4.256565272808074951e-01,9.187601208686828613e-01
