epoch,residual_mse,rel_l2
0.000000000000000000e+00,3.722911865234375000e+03,1.235006093978881836e+00
2.500000000000000000e+01,1.230344238281250000e+03,1.201621174812316895e+00
5.000000000000000000e+01,6.577283935546875000e+02,1.171864986419677734e+00
7.500000000000000000e+01,4.134796447753906250e+02,1.147238850593566895e+00
1.000000000000000000e+02,2.821290893554687500e+02,1.123781800270080566e+00
1.250000000000000000e+02,2.037224273681640625e+02,1.100874066352844238e+00
1.500000000000000000e+02,1.545674896240234375e+02,1.078182339668273926e+00
1.750000000000000000e+02,1.223233947753906250e+02,1.056469559669494629e+00
2.000000000000000000e+02,1.005805206298828125e+02,1.036309361457824707e+00
2.250000000000000000e+02,8.576728820800781250e+01,1.018063783645629883e+00
2.500000000000000000e+02,7.564108276367187500e+01,1.001798272132873535e+00
2.750000000000000000e+02,6.869650268554687500e+01,9.874136447906494141e-01
3.000000000000000000e+02,6.390974807739257812e+01,9.747543334960937500e-01
3.250000000000000000e+02,6.058508682250976562e+01,9.636593461036682129e-01
3.500000000000000000e+02,5.824773406982421875e+01,9.539685249328613281e-01
