epoch,residual_mse,rel_l2
0.000000000000000000e+00,1.925335998535156250e+02,1.097207188606262207e+00
2.500000000000000000e+01,1.672783203125000000e+02,9.344525933265686035e-01
5.000000000000000000e+01,1.483930511474609375e+02,8.006598353385925293e-01
7.500000000000000000e+01,1.295110321044921875e+02,7.058208584785461426e-01
1.000000000000000000e+02,1.081214294433593750e+02,6.219497919082641602e-01
1.250000000000000000e+02,8.662241363525390625e+01,5.196693539619445801e-01
1.500000000000000000e+02,6.730294799804687500e+01,4.121502041816711426e-01
1.750000000000000000e+02,4.919927978515625000e+01,3.098985850811004639e-01
2.000000000000000000e+02,3.202170181274414062e+01,2.201875299215316772e-01
2.250000000000000000e+02,1.703131675720214844e+01,1.482391208410263062e-01
2.500000000000000000e+02,7.079024791717529297e+00,9.098644554615020752e-02
2.750000000000000000e+02,3.010048151016235352e+00,4.897084832191467285e-02
3.000000000000000000e+02,1.958088040351867676e+00,2.835366502404212952e-02
3.250000000000000000e+02,1.626650691032409668e+00,2.337352372705936432e-02
3.500000000000000000e+02,1.416031718254089355e+00,2.200034260749816895e-02
