epoch,residual_mse,rel_l2
0.000000000000000000e+00,5.295383203125000000e+04,1.340724468231201172e+00
2.500000000000000000e+01,3.692283593750000000e+04,1.251307129859924316e+00
5.000000000000000000e+01,2.620815234375000000e+04,1.185667276382446289e+00
7.500000000000000000e+01,1.982916601562500000e+04,1.142348766326904297e+00
1.000000000000000000e+02,1.616088476562500000e+04,1.112086534500122070e+00
1.250000000000000000e+02,1.374752441406250000e+04,1.086964011192321777e+00
1.500000000000000000e+02,1.189006933593750000e+04,1.064448714256286621e+00
1.750000000000000000e+02,1.035057128906250000e+04,1.044468283653259277e+00
2.000000000000000000e+02,9.034918945312500000e+03,1.027363777160644531e+00
2.250000000000000000e+02,7.897170898437500000e+03,1.013396859169006348e+00
2.500000000000000000e+02,6.912209960937500000e+03,1.002565264701843262e+00
2.750000000000000000e+02,6.064137695312500000e+03,9.946430921554565430e-01
3.000000000000000000e+02,5.339816894531250000e+03,9.894061088562011719e-01
3.250000000000000000e+02,4.725635742187500000e+03,9.864882230758666992e-01
3.500000000000000000e+02,4.207078613281250000e+03,9.851410984992980957e-01
