epoch,residual_mse,rel_l2
0.000000000000000000e+00,7.590848144531250000e+03,1.192876458168029785e+00
2.500000000000000000e+01,2.614500000000000000e+03,1.166138410568237305e+00
5.000000000000000000e+01,9.506747436523437500e+02,1.128106117248535156e+00
7.500000000000000000e+01,4.913276062011718750e+02,1.090057849884033203e+00
1.000000000000000000e+02,3.382960815429687500e+02,1.059760808944702148e+00
1.250000000000000000e+02,2.691322937011718750e+02,1.036595582962036133e+00
1.500000000000000000e+02,2.295541381835937500e+02,1.014918446540832520e+00
1.750000000000000000e+02,2.019844360351562500e+02,9.926497340202331543e-01
2.000000000000000000e+02,1.802147827148437500e+02,9.696384668350219727e-01
2.250000000000000000e+02,1.619245300292968750e+02,9.460000395774841309e-01
2.500000000000000000e+02,1.462695312500000000e+02,9.220605492591857910e-01
2.750000000000000000e+02,1.328734893798828125e+02,8.981758952140808105e-01
3.000000000000000000e+02,1.213996429443359375e+02,8.746122717857360840e-01
3.250000000000000000e+02,1.114862518310546875e+02,8.514971733093261719e-01
3.500000000000000000e+02,1.028028411865234375e+02,8.288668394088745117e-01
