epoch,mse,rel_l2
0.000000000000000000e+00,1.460075616836547852e+00,1.498472809791564941e+00
2.500000000000000000e+01,3.599123656749725342e-02,2.567038536071777344e-01
5.000000000000000000e+01,3.913870546966791153e-03,8.584897965192794800e-02
7.500000000000000000e+01,7.333585526794195175e-04,3.581382706761360168e-02
1.000000000000000000e+02,3.062927862629294395e-04,2.376967482268810272e-02
1.250000000000000000e+02,1.886960963020101190e-04,1.877787336707115173e-02
1.500000000000000000e+02,1.295025431318208575e-04,1.557668484747409821e-02
1.750000000000000000e+02,9.590995614416897297e-05,1.342296227812767029e-02
2.000000000000000000e+02,7.501677464460954070e-05,1.188209839165210724e-02
2.250000000000000000e+02,6.108419620431959629e-05,1.072951685637235641e-02
2.500000000000000000e+02,5.127679469296708703e-05,9.835660457611083984e-03
2.750000000000000000e+02,4.404543869895860553e-05,9.119399823248386383e-03
3.000000000000000000e+02,3.848929554806090891e-05,8.527283556759357452e-03
3.250000000000000000e+02,3.406480391277000308e-05,8.023956790566444397e-03
3.500000000000000000e+02,3.043820288439746946e-05,7.586073596030473709e-03
3.750000000000000000e+02,2.739983210631180555e-05,7.198473904281854630e-03
4.000000000000000000e+02,2.481527371855918318e-05,6.851301994174718857e-03
4.250000000000000000e+02,2.259296161355450749e-05,6.537953391671180725e-03
4.500000000000000000e+02,2.066723573079798371e-05,6.253724917769432068e-03
4.750000000000000000e+02,1.898916161735542119e-05,5.994956474751234055e-03
5.000000000000000000e+02,1.751881973177660257e-05,5.758617073297500610e-03
