epoch,residual_mse,rel_l2
0.000000000000000000e+00,4.477596562500000000e+05,1.131485700607299805e+00
2.500000000000000000e+01,2.385688437500000000e+05,1.056526541709899902e+00
5.000000000000000000e+01,1.482885781250000000e+05,1.023290038108825684e+00
7.500000000000000000e+01,1.395323281250000000e+05,1.020065665245056152e+00
1.000000000000000000e+02,1.364959062500000000e+05,1.018812417984008789e+00
1.250000000000000000e+02,1.334585312500000000e+05,1.017531394958496094e+00
1.500000000000000000e+02,1.301666484375000000e+05,1.016123890876770020e+00
1.750000000000000000e+02,1.267107187500000000e+05,1.014645338058471680e+00
2.000000000000000000e+02,1.232272187500000000e+05,1.013145446777343750e+00
2.250000000000000000e+02,1.199438750000000000e+05,1.011720657348632812e+00
2.500000000000000000e+02,1.171720156250000000e+05,1.010502934455871582e+00
2.750000000000000000e+02,1.151875312500000000e+05,1.009611725807189941e+00
3.000000000000000000e+02,1.140379218750000000e+05,1.009073138236999512e+00
3.250000000000000000e+02,1.134966171875000000e+05,1.008798956871032715e+00
3.500000000000000000e+02,1.132561953125000000e+05,1.008664846420288086e+00
